backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
www.themoviedb.org/t/p/w600_and_h900_bestv2/cnLNz66RJ27WKQlAEZU9MLKiJAm.jpg,"53, 35, 18",405412,uk,Вересень,empty,6.563,www.themoviedb.org/t/p/w600_and_h900_bestv2/u1iMQRwAUR1MWTdtUhK4prUcYLI.jpg,2023-06-20,Вересень,0.0,0,"Thriller, Comedy, Drama"
www.themoviedb.org/t/p/w600_and_h900_bestv2/6TdwVNuHyvIjKdiiK7mAVVPp5Oj.jpg,"18, 53, 27",443413,en,Prom Queen,empty,1.4,www.themoviedb.org/t/p/w600_and_h900_bestv2/wM00ZYbMjr0P1UpOdEaBswey49a.jpg,2023-06-23,Prom Queen,0.0,0,"Drama, Thriller, Horror"
www.themoviedb.org/t/p/w600_and_h900_bestv2/uuyVaqPyAstHPm8DFZBLCtNqixJ.jpg,"18, 14, 10751",456483,en,Wonderwell,empty,39.999,www.themoviedb.org/t/p/w600_and_h900_bestv2/nsznEryY1zSfKWk266WY5o9buZu.jpg,2023-06-23,Wonderwell,7.0,4,"Drama, Fantasy, Family"
www.themoviedb.org/t/p/w600_and_h900_bestv2/pEg9HmNmdYsYDGbnMc6ZsqrHv9s.jpg,"10749, 35",561717,en,The Perfect Find,O regresso de uma editora à carreira da moda sofre um percalço quando ela descobre que o jovem encantador que beijou numa festa é o seu novo colega e filho da sua chefe.,56.41,www.themoviedb.org/t/p/w600_and_h900_bestv2/xlN4vXWzvoZ2LCdhsyFv4zOZBY6.jpg,2023-06-23,A Descoberta Perfeita,5.5,5,"Romance, Comedy"
www.themoviedb.org/t/p/w600_and_h900_bestv2/b4JyEcs02LIRXauydUvDIu0d2PU.jpg,"53, 18",631884,en,Happy Suicide,empty,34.331,www.themoviedb.org/t/p/w600_and_h900_bestv2/vbhjxtSR0IkwCs0s4E0WkVpdU60.jpg,2023-06-24,Happy Suicide,10.0,1,"Thriller, Drama"
empty,empty,662499,fr,Canicule,empty,1.96,www.themoviedb.org/t/p/w600_and_h900_bestv2/ohhpHpvm3uFMBWqoypbTTTUEwIT.jpg,2023-06-24,Canicule,0.0,0,empty
www.themoviedb.org/t/p/w600_and_h900_bestv2/oFjO5WIgjEQWxmIDmN5e6A9tABC.jpg,"27, 35",717712,ko,손,empty,7.338,www.themoviedb.org/t/p/w600_and_h900_bestv2/mZycShM29lQBRACmqYEoJmS5iJZ.jpg,2023-06-21,손,0.0,0,"Horror, Comedy"
empty,empty,741600,cn,"別叫我\"賭神\"",empty,13.894,www.themoviedb.org/t/p/w600_and_h900_bestv2/bCqS1MkwZouIdfevYIBz74VBTbp.jpg,2023-06-21,"別叫我\"賭神\"",0.0,0,empty
www.themoviedb.org/t/p/w600_and_h900_bestv2/sGdyKVuMcjuohy14OwFLt2TdcTz.jpg,28,751391,zh,少年叶问之危机时刻,empty,30.325,www.themoviedb.org/t/p/w600_and_h900_bestv2/yq6HKizs5WmeXLaAMhAgMUv1OXL.jpg,2023-06-23,少年叶问之危机时刻,0.0,0,Action
www.themoviedb.org/t/p/w600_and_h900_bestv2/sXwi74kBEY4j5jX0gbOSJXZyZnP.jpg,"35, 18",793852,en,Reception,empty,1.96,www.themoviedb.org/t/p/w600_and_h900_bestv2/a57ACfqqrj5PlkXzLA39Zsr6eTT.jpg,2023-06-23,Reception,0.0,0,"Comedy, Drama"
